,action,reward,load,location_y,location_x
881,3,6.5,1,1,0
882,2,-1.0,0,2,0
883,0,0.0,0,2,1
884,1,-1.0,0,2,1
885,1,6.5,0,1,1
886,4,-1.0,1,0,1
887,3,-1.0,1,0,0
888,3,6.5,1,1,0
889,2,-1.0,0,2,0
890,1,-1.0,0,2,1
891,2,6.5,0,1,1
892,4,-1.0,1,1,2
893,4,-1.0,1,1,1
894,3,6.5,1,1,0
895,2,-1.0,0,2,0
896,0,0.0,0,2,1
897,2,-1.0,0,2,1
898,3,-1.0,0,2,2
899,2,-1.0,0,3,2
900,2,6.5,0,3,3
901,4,-1.0,1,3,4
902,4,-1.0,1,3,3
903,4,-1.0,1,3,2
904,4,-1.0,1,3,1
905,1,6.5,1,3,0
906,2,-1.0,0,2,0
907,2,6.5,0,2,1
908,4,-1.0,1,2,2
909,4,6.5,1,2,1
910,2,-1.0,0,2,0
911,3,-1.0,0,2,1
912,2,6.5,0,3,1
913,4,-1.0,1,3,2
914,4,-1.0,1,3,1
915,1,6.5,1,3,0
916,2,-1.0,0,2,0
917,2,-1.0,0,2,1
918,2,6.5,0,2,2
919,4,-1.0,1,2,3
920,4,-1.0,1,2,2
921,4,6.5,1,2,1
922,2,-1.0,0,2,0
923,0,0.0,0,2,1
924,0,0.0,0,2,1
925,0,0.0,0,2,1
926,0,0.0,0,2,1
927,2,-1.0,0,2,1
928,0,0.0,0,2,2
929,0,0.0,0,2,2
930,1,-1.0,0,2,2
931,1,-1.0,0,1,2
932,2,6.5,0,0,2
933,3,-1.0,1,0,3
934,4,-1.0,1,1,3
935,4,-1.0,1,1,2
936,4,-1.0,1,1,1
937,3,6.5,1,1,0
938,2,-1.0,0,2,0
939,2,-1.0,0,2,1
940,2,6.5,0,2,2
941,4,-1.0,1,2,3
942,4,-1.0,1,2,2
943,4,6.5,1,2,1
944,2,-1.0,0,2,0
945,2,6.5,0,2,1
946,4,-1.0,1,2,2
947,4,6.5,1,2,1
948,3,-1.0,0,2,0
949,2,6.5,0,3,0
950,4,-1.0,1,3,1
951,1,6.5,1,3,0
952,2,-1.0,0,2,0
953,3,-1.0,0,2,1
