step,agent_y,agent_x,agent_load,rew,action,put/take
608,2,0,0,0.0,0,stay
609,2,0,0,0.0,0,stay
610,2,1,0,-1.0,2,walk
611,2,2,0,-1.0,2,walk
612,2,3,1,6.5,2,take
613,2,4,2,6.5,2,take
614,2,4,2,0.0,0,stay
615,2,4,2,0.0,0,stay
616,2,4,2,0.0,0,stay
617,2,3,2,-1.0,4,walk
618,2,2,2,-1.0,4,walk
619,2,1,2,-1.0,4,walk
620,2,0,0,14.0,4,put
621,1,0,1,6.5,1,take
622,2,0,0,6.5,3,take
623,3,0,1,6.5,3,take
624,2,0,0,6.5,1,take
625,1,0,0,-1.0,1,walk
626,0,0,1,6.5,1,take
627,0,1,1,-1.0,2,walk
628,0,2,1,-1.0,2,walk
629,0,3,1,-1.0,2,walk
630,1,3,1,-1.0,3,walk
631,2,3,1,-1.0,3,walk
632,3,3,2,6.5,3,take
633,3,3,3,7.5,0,take
634,3,2,3,-1.0,4,walk
635,3,1,3,-1.0,4,walk
636,3,0,3,-1.0,4,walk
637,2,0,0,21.5,1,put
638,2,1,0,-1.0,2,walk
639,2,2,0,-1.0,2,walk
640,2,1,0,-1.0,4,walk
641,3,1,1,6.5,3,take
642,2,1,1,-1.0,1,walk
643,2,2,1,-1.0,2,walk
644,2,3,1,-1.0,2,walk
645,2,4,1,-1.0,2,walk
646,1,4,2,6.5,1,take
647,0,4,3,6.5,1,take
648,1,4,3,-1.0,3,walk
649,2,4,3,-1.0,3,walk
650,2,3,3,-1.0,4,walk
651,2,2,3,-1.0,4,walk
652,2,1,3,-1.0,4,walk
653,2,0,0,21.5,4,put
654,2,1,0,-1.0,2,walk
655,3,1,0,-1.0,3,walk
656,3,2,0,-1.0,2,walk
657,3,3,0,-1.0,2,walk
658,4,3,1,6.5,3,take
659,4,4,2,6.5,2,take
660,4,4,3,7.5,0,take
661,3,4,3,-1.0,1,walk
662,3,3,3,-1.0,4,walk
663,3,2,3,-1.0,4,walk
664,3,1,3,-1.0,4,walk
665,3,0,3,-1.0,4,walk
666,2,0,0,21.5,1,put
667,2,1,0,-1.0,2,walk
668,3,1,1,6.5,3,take
669,3,2,1,-1.0,2,walk
670,4,2,2,6.5,3,take
671,3,2,2,-1.0,1,walk
672,2,2,2,-1.0,1,walk
673,1,2,3,6.5,1,take
674,1,1,3,-1.0,4,walk
675,1,0,3,-1.0,4,walk
676,2,0,0,21.5,3,put
677,2,1,0,-1.0,2,walk
678,2,2,0,-1.0,2,walk
679,2,3,0,-1.0,2,walk
680,1,3,1,6.5,1,take
681,1,4,2,6.5,2,take
682,1,3,2,-1.0,4,walk
683,0,3,3,6.5,1,take
684,0,2,3,-1.0,4,walk
685,0,1,3,-1.0,4,walk
686,0,0,3,-1.0,4,walk
687,1,0,3,-1.0,3,walk
688,2,0,0,21.5,3,put
689,1,0,1,6.5,1,take
690,1,0,1,0.0,0,stay
691,1,0,1,0.0,0,stay
692,1,0,1,0.0,0,stay
693,1,0,1,0.0,0,stay
694,1,1,1,-1.0,2,walk
695,1,2,1,-1.0,2,walk
696,1,3,1,-1.0,2,walk
697,2,3,2,6.5,3,take
698,2,3,2,0.0,0,stay
699,3,3,3,6.5,3,take
700,3,2,3,-1.0,4,walk
701,3,1,3,-1.0,4,walk
702,3,0,3,-1.0,4,walk
703,2,0,0,21.5,1,put
704,2,0,0,0.0,0,stay
705,2,0,0,0.0,0,stay
706,2,0,0,0.0,0,stay
707,2,0,0,0.0,0,stay
708,2,0,0,0.0,0,stay
709,2,0,0,0.0,0,stay
710,3,0,1,6.5,3,take
711,3,1,1,-1.0,2,walk
712,2,1,1,-1.0,1,walk
713,2,2,1,-1.0,2,walk
714,1,2,2,6.5,1,take
715,1,3,3,6.5,2,take
